Start,End,Open,High,Low,Close,Volume,Market Cap
2025-04-12,2025-04-13,83359.29,85786.19,82810.94,85288.46,69354362438.21603,1670075109950.1743
2025-04-11,2025-04-12,79575.97,84102.66,79006.6,83520.03,68172551563.09059,1628880458512.575
2025-04-10,2025-04-11,82617.98,82617.98,78750.38,79609.67,94987109013.12195,1608320178162.2544
2025-04-09,2025-04-10,76067.55,83476.48,74670.3,82619.88,89266414295.5749,1556205608697.8223
2025-04-08,2025-04-09,79265.03,80757.99,76352.03,76379.96,95111641621.42857,1562372791770.0977
2025-04-07,2025-04-08,77958.02,80226.15,74530.04,79261.19,101964447739.57193,1544464239033.2947
2025-04-06,2025-04-07,83533.45,83704.76,77296.39,78310.34,29747694061.90941,1626851505050.85
2025-04-05,2025-04-06,83769.12,84219.7,82384.97,83582.03,54248864825.993034,1654109742457.4043
2025-04-04,2025-04-05,83259.08,84676.27,81767.53,83879.86,62632262272.24738,1654910625336.7004
2025-04-03,2025-04-04,82259.03,83781.7,81307.75,83199.95,77668432600.05576,1643472264746.0522
2025-04-02,2025-04-03,85170.68,87898.01,82487.4,82548.31,52376111578.414635,1688190001005.2021
2025-04-01,2025-04-02,82612.64,85417.94,82470.01,85216.81,47683970204.78049,1667079854423.46
2025-03-31,2025-04-01,82393.71,83750,81365.02,82541.29,38919650975.466896,1633849331577.0662
2025-03-30,2025-03-31,82655.67,83524.98,81650.45,82345.82,31733338256.850174,1643757273158.9512
2025-03-29,2025-03-30,84364.84,84573.51,81771.86,82659.11,42848927373.229965,1649214876303.6794
2025-03-28,2025-03-29,87134.99,87487.48,83664.96,84428.01,50686956680.822296,1689251677527.2996
2025-03-27,2025-03-28,86943.66,87706.66,85938.04,87233.76,45790132375.125435,1729988949434.1846
2025-03-26,2025-03-27,87333.61,88245.26,85937.46,86945.41,47668895554.223,1731789281821.979
2025-03-25,2025-03-26,87345.15,88448.53,86349.98,87483.06,56119416636.40767,1731916339831.7039
2025-03-24,2025-03-25,85967.42,88654.16,85568.55,87365.98,92018925791.7561,1732703257782.784
2025-03-23,2025-03-24,83833.25,85804.35,83833.25,85750.02,65768043880.17422,1679311077904.345
2025-03-22,2025-03-23,84074.52,84528.35,83742.1,83798.13,92973716555.33101,1669817632499.7979
2025-03-21,2025-03-22,84335.64,84789.6,83364.81,84050.18,70499840455.27527,1669094291927.655
2025-03-20,2025-03-21,87309.29,87410.59,83765.74,84304.83,62868771995.125435,1691193356249.7073
2025-03-19,2025-03-20,82658.81,86891.95,82611.59,86793.7,78132906441.67247,1666735074297.439
2025-03-18,2025-03-19,83919.26,83949.09,81221.47,82799.03,96487660396.65854,1637257935310.4634
2025-03-17,2025-03-18,82643.23,84663.79,82643.23,84067.57,47257506664.22648,1657349084338.129
2025-03-16,2025-03-17,84346.05,84739.84,82065.51,82576.96,31567641071.923344,1657871852100.8467
2025-03-15,2025-03-16,84063.17,84652.22,83675.09,84368.36,46550538210.57143,1670909585731.366
2025-03-14,2025-03-15,80991.38,85126.59,80866.26,83957.61,56526744237.56795,1649042021849.38
